order_id,order_date,order_datetime,day_index,customer_id,is_first_time_customer,customer_account_age_days,customer_prior_orders,payment_mode,order_value,item_category,pincode,promo_code_used,device_id,order_hour,phase,drift_weight,device_order_count_24h,is_rto,pincode_rolling_rto_rate,device_model_name,app_theme_color
ORD0000016,2026-01-01,2026-01-01 00:05:00,0,CUST010227,True,0,0,COD,217.69,grocery,PIN0020,False,DEV007399,0,pre_drift,0.0,0,0,0.15,Samsung_A54,light
ORD0000003,2026-01-01,2026-01-01 00:11:00,0,CUST012927,True,0,0,COD,836.14,fashion,PIN0008,True,DEV005487,0,pre_drift,0.0,0,0,0.15,iPhone_13,light
ORD0000005,2026-01-01,2026-01-01 00:22:00,0,CUST011915,True,0,0,COD,7602.64,electronics,PIN0032,False,DEV000630,0,pre_drift,0.0,0,1,0.15,iPhone_13,auto
ORD0000061,2026-01-01,2026-01-01 00:24:00,0,CUST010885,True,0,0,COD,2832.91,electronics,PIN0003,False,DEV004181,0,pre_drift,0.0,0,0,0.15,OnePlus_Nord,dark
ORD0000152,2026-01-01,2026-01-01 00:30:00,0,CUST012637,True,0,0,COD,1301.67,electronics,PIN0010,False,DEV006926,0,pre_drift,0.0,0,1,0.15,OnePlus_Nord,light
ORD0000236,2026-01-01,2026-01-01 00:31:00,0,CUST013919,True,0,0,COD,771.68,fashion,PIN0026,False,DEV006988,0,pre_drift,0.0,0,1,0.15,Vivo_Y20,dark
ORD0000036,2026-01-01,2026-01-01 00:42:00,0,CUST009627,True,0,0,COD,2162.83,home,PIN0008,False,DEV006422,0,pre_drift,0.0,0,0,0.15,Samsung_A54,auto
ORD0000034,2026-01-01,2026-01-01 00:42:00,0,CUST004677,True,0,0,COD,234.19,mobile_accessories,PIN0029,False,DEV001763,0,pre_drift,0.0,0,0,0.15,iPhone_13,dark
ORD0000234,2026-01-01,2026-01-01 00:46:00,0,CUST004080,True,0,0,COD,541.15,mobile_accessories,PIN0045,False,DEV003322,0,pre_drift,0.0,0,0,0.15,Redmi_9,dark
ORD0000205,2026-01-01,2026-01-01 00:50:00,0,CUST003573,True,0,0,COD,615.13,fashion,PIN0039,True,DEV006263,0,pre_drift,0.0,0,0,0.15,Samsung_A54,dark
ORD0000028,2026-01-01,2026-01-01 00:56:00,0,CUST003604,True,0,0,COD,1090.31,fashion,PIN0038,False,DEV001631,0,pre_drift,0.0,0,0,0.15,OnePlus_Nord,light
ORD0000109,2026-01-01,2026-01-01 00:59:00,0,CUST008058,True,0,0,COD,774.19,beauty,PIN0010,False,DEV004681,0,pre_drift,0.0,0,0,0.15,Vivo_Y20,light
ORD0000200,2026-01-01,2026-01-01 00:59:00,0,CUST011298,True,0,0,COD,2481.79,electronics,PIN0013,False,DEV003310,0,pre_drift,0.0,0,1,0.15,iPhone_13,auto
ORD0000059,2026-01-01,2026-01-01 01:02:00,0,CUST001426,True,0,0,COD,1181.7,mobile_accessories,PIN0025,False,DEV005963,1,pre_drift,0.0,0,1,0.15,iPhone_13,light
ORD0000157,2026-01-01,2026-01-01 01:05:00,0,CUST008371,True,0,0,COD,923.04,electronics,PIN0044,False,DEV003634,1,pre_drift,0.0,0,0,0.15,iPhone_13,dark
ORD0000233,2026-01-01,2026-01-01 01:12:00,0,CUST003910,True,0,0,COD,423.16,mobile_accessories,PIN0016,True,DEV001938,1,pre_drift,0.0,0,0,0.15,iPhone_13,light
ORD0000054,2026-01-01,2026-01-01 01:18:00,0,CUST000844,True,0,0,COD,3503.67,home,PIN0023,True,DEV002170,1,pre_drift,0.0,0,0,0.15,OnePlus_Nord,dark
ORD0000185,2026-01-01,2026-01-01 01:20:00,0,CUST003126,True,0,0,COD,2476.83,electronics,PIN0044,True,DEV002856,1,pre_drift,0.0,0,0,0.15,Samsung_A54,light
ORD0000232,2026-01-01,2026-01-01 01:21:00,0,CUST004867,True,0,0,COD,1476.02,electronics,PIN0000,True,DEV005544,1,pre_drift,0.0,0,0,0.15,Vivo_Y20,auto
ORD0000033,2026-01-01,2026-01-01 01:33:00,0,CUST004402,True,0,0,COD,1634.84,fashion,PIN0031,True,DEV007577,1,pre_drift,0.0,0,0,0.15,OnePlus_Nord,dark
ORD0000212,2026-01-01,2026-01-01 01:36:00,0,CUST010013,True,0,0,COD,948.24,mobile_accessories,PIN0058,False,DEV002285,1,pre_drift,0.0,0,0,0.15,OnePlus_Nord,auto
ORD0000237,2026-01-01,2026-01-01 01:51:00,0,CUST011996,True,0,0,COD,1155.47,mobile_accessories,PIN0020,True,DEV001106,1,pre_drift,0.0,0,1,0.15,Redmi_9,dark
ORD0000188,2026-01-01,2026-01-01 02:05:00,0,CUST012906,True,0,0,COD,417.24,fashion,PIN0049,True,DEV003156,2,pre_drift,0.0,0,0,0.15,Samsung_A54,auto
ORD0000181,2026-01-01,2026-01-01 02:17:00,0,CUST004977,True,0,0,COD,791.76,mobile_accessories,PIN0038,False,DEV000871,2,pre_drift,0.0,0,0,0.15,Vivo_Y20,auto
ORD0000244,2026-01-01,2026-01-01 02:20:00,0,CUST006374,True,0,0,Prepaid,3288.01,mobile_accessories,PIN0018,False,DEV007884,2,pre_drift,0.0,0,0,0.15,iPhone_13,auto
ORD0000208,2026-01-01,2026-01-01 02:21:00,0,CUST012197,True,0,0,COD,572.42,home,PIN0029,True,DEV008308,2,pre_drift,0.0,0,1,0.15,iPhone_13,auto
ORD0000110,2026-01-01,2026-01-01 02:22:00,0,CUST000444,True,0,0,Prepaid,692.99,grocery,PIN0030,False,DEV006229,2,pre_drift,0.0,0,0,0.15,OnePlus_Nord,auto
ORD0000042,2026-01-01,2026-01-01 02:23:00,0,CUST011903,True,0,0,COD,480.94,beauty,PIN0023,False,DEV003230,2,pre_drift,0.0,0,0,0.15,Vivo_Y20,dark
ORD0000173,2026-01-01,2026-01-01 02:24:00,0,CUST012926,True,0,0,COD,1403.29,mobile_accessories,PIN0004,True,DEV002401,2,pre_drift,0.0,0,1,0.15,OnePlus_Nord,dark
